District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Rwamagana,Online Business Registration,Immigration Department,0.0,0.0,2022,Unknown
Burera,Land Registration Portal,Rwanda Revenue Authority,2823.0,0.0,2021,Dec
Nyagatare,eTax Portal,Rwanda Revenue Authority,1620.0,0.0,2021,Unknown
Rwamagana,Land Registration Portal,Immigration Department,2740.0,98.7,2022,Unknown
Rulindo,Land Registration Portal,Immigration Department,0.0,72.7,2022,Feb
Gakenke,eTax Portal,Ministry of Health,552.0,76.1,2024,Oct
Rusizi,Online Business Registration,Immigration Department,4543.0,0.0,2021,Feb
Burera,eTax Portal,Ministry of ICT,4538.0,0.0,2021,Unknown
Nyagatare,Digital Health Records,Ministry of ICT,1534.0,0.0,2021,Unknown
Karongi,eTax Portal,Ministry of ICT,913.0,0.0,2024,Sep
Kicukiro,E-Visa Service,Ministry of ICT,613.0,0.0,2021,Mar
Nyagatare,eTax Portal,Immigration Department,0.0,59.4,2024,Jun
Kicukiro,Irembo Services,Ministry of Health,1807.0,0.0,2023,Jun
Karongi,Digital Health Records,Rwanda Revenue Authority,1728.0,61.7,2024,Apr
Gakenke,Irembo Services,Immigration Department,0.0,0.0,2023,Aug
Rusizi,Online Business Registration,Ministry of Lands,1772.0,83.1,2021,Feb
Nyarugenge,Online Business Registration,Immigration Department,0.0,0.0,2023,May
Huye,E-Visa Service,Ministry of ICT,0.0,0.0,2024,Nov
Karongi,E-Visa Service,Ministry of Lands,1647.0,0.0,2022,Unknown
Huye,E-Visa Service,Immigration Department,0.0,93.2,2023,Aug
Kayonza,Digital Health Records,Ministry of Health,0.0,0.0,2023,Sep
Gakenke,Land Registration Portal,Ministry of Health,0.0,0.0,2021,Nov
Rulindo,eTax Portal,Ministry of Lands,2031.0,83.8,2024,Jun
Rubavu,Irembo Services,Rwanda Revenue Authority,0.0,0.0,2023,Oct
Rusizi,Digital Health Records,Ministry of Lands,0.0,69.7,2023,Jul
Rubavu,Irembo Services,Ministry of Health,0.0,0.0,2023,Oct
Nyagatare,eTax Portal,Ministry of Lands,0.0,0.0,2023,Jul
Burera,Land Registration Portal,Ministry of ICT,2725.0,80.2,2022,Oct
Burera,Irembo Services,Ministry of ICT,1332.0,98.9,2024,Feb
Rusizi,Digital Health Records,Rwanda Revenue Authority,0.0,99.7,2021,Jun
Nyamagabe,eTax Portal,Ministry of Lands,0.0,89.1,2021,Jun
Gakenke,E-Visa Service,Ministry of Lands,3798.0,64.4,2022,Unknown
Bugesera,E-Visa Service,Ministry of Lands,0.0,93.9,2024,Aug
Nyagatare,E-Visa Service,Ministry of Lands,2048.0,0.0,2023,Oct
Rubavu,eTax Portal,Rwanda Revenue Authority,0.0,0.0,2022,Mar
Nyanza,Land Registration Portal,Ministry of Health,1545.0,95.1,2024,Unknown
Kayonza,Digital Health Records,Immigration Department,3813.0,89.9,2023,Nov
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,1903.0,93.4,2022,Dec
Kicukiro,eTax Portal,Ministry of Health,0.0,0.0,2024,Unknown
Musanze,Irembo Services,Ministry of Health,3631.0,82.5,2021,May
Rubavu,E-Visa Service,Ministry of Health,3507.0,0.0,2021,Oct
Rwamagana,Online Business Registration,Ministry of Lands,1686.0,80.5,2024,Oct
Nyamagabe,Digital Health Records,Rwanda Revenue Authority,3049.0,0.0,2021,Feb
Nyarugenge,Irembo Services,Ministry of Health,748.0,77.4,2024,Nov
Gakenke,Land Registration Portal,Immigration Department,0.0,61.9,2023,Mar
Gakenke,Land Registration Portal,Immigration Department,904.0,0.0,2024,Jun
Rulindo,eTax Portal,Ministry of ICT,0.0,53.7,2023,Feb
Nyanza,Land Registration Portal,Ministry of Health,0.0,0.0,2022,Apr
Rusizi,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2024,May
Burera,E-Visa Service,Ministry of Lands,4981.0,75.0,2022,Feb
Gasabo,Irembo Services,Ministry of ICT,0.0,0.0,2021,Mar
Musanze,E-Visa Service,Ministry of Health,4268.0,0.0,2023,Jun
Burera,Digital Health Records,Ministry of Lands,0.0,0.0,2024,Dec
Rusizi,E-Visa Service,Rwanda Revenue Authority,2377.0,55.4,2022,Mar
Karongi,eTax Portal,Rwanda Revenue Authority,0.0,69.9,2023,Sep
Musanze,E-Visa Service,Ministry of ICT,0.0,0.0,2023,Jul
Ngoma,Digital Health Records,Ministry of ICT,1980.0,0.0,2021,Jul
Nyamagabe-,Irembo Services,Ministry of Health,658.0,0.0,2021,Oct
Rwamagana,Online Business Registration,Ministry of Lands,1197.0,85.9,2023,Mar
Rulindo,Irembo Services,Immigration Department,0.0,76.1,2023,Oct
Gasabo,Irembo Services,Ministry of Lands,0.0,59.8,2024,Jul
Rusizi,eTax Portal,Rwanda Revenue Authority,2861.0,94.8,2023,Jul
Nyanza,Digital Health Records,Rwanda Revenue Authority,1419.0,94.9,2024,Mar
Rwamagana,Irembo Services,Ministry of Health,0.0,82.7,2023,Aug
Nyanza,Irembo Services,Immigration Department,2961.0,53.0,2021,Nov
Musanze,Online Business Registration,Ministry of Health,1893.0,74.0,2024,Sep
Ngoma,Land Registration Portal,Rwanda Revenue Authority,0.0,55.1,2022,Dec
Nyanza,Online Business Registration,Rwanda Revenue Authority,0.0,80.9,2021,Nov
Huye,Digital Health Records,Ministry of Lands,4786.0,64.2,2024,Mar
Rubavu,Digital Health Records,Immigration Department,0.0,0.0,2024,Sep
Bugesera,eTax Portal,Ministry of Lands,0.0,0.0,2022,Mar
Rwamagana,E-Visa Service,Ministry of Lands,673.0,0.0,2024,Aug
Burera,E-Visa Service,Ministry of Health,3693.0,85.8,2023,May
Nyanza,E-Visa Service,Ministry of Lands,2099.0,0.0,2022,Mar
Gasabo,Land Registration Portal,Ministry of ICT,3773.0,56.1,2021,Mar
Karongi,Digital Health Records,Ministry of ICT,0.0,0.0,2021,Jun
Kayonza,Land Registration Portal,Ministry of Lands,4140.0,59.1,2023,Unknown
Gasabo,E-Visa Service,Immigration Department,2106.0,59.2,2021,Aug
Musanze,E-Visa Service,Ministry of Lands,3220.0,0.0,2024,Oct
Bugesera,Online Business Registration,Rwanda Revenue Authority,2305.0,0.0,2024,Jan
Ngoma,Digital Health Records,Rwanda Revenue Authority,0.0,0.0,2023,Unknown
Nyagatare,E-Visa Service,Immigration Department,3241.0,0.0,2021,Jun
Kicukiro,Irembo Services,Ministry of Health,0.0,0.0,2021,Jan
Nyagatare,Digital Health Records,Ministry of ICT,4732.0,76.3,2023,Aug
Nyarugenge,Land Registration Portal,Ministry of ICT,0.0,97.6,2022,Mar
Nyarugenge,Digital Health Records,Ministry of Health,0.0,81.9,2021,Apr
Kayonza,eTax Portal,Ministry of Lands,0.0,94.2,2022,Unknown
Nyarugenge,Irembo Services,Immigration Department,148.0,89.7,2021,Jul
Burera,E-Visa Service,Ministry of Lands,0.0,0.0,2021,Sep
Rubavu,eTax Portal,Ministry of Health,0.0,0.0,2021,Sep
Rubavu,Online Business Registration,Immigration Department,2919.0,0.0,2021,Nov
Kayonza,Digital Health Records,Ministry of ICT,3841.0,77.8,2024,Aug
Burera,Digital Health Records,Ministry of ICT,4117.0,0.0,2022,Jul
Rwamagana,Online Business Registration,Ministry of Lands,4543.0,0.0,2022,Nov
Rusizi,eTax Portal,Rwanda Revenue Authority,0.0,0.0,2021,Aug
Nyanza,Irembo Services,Ministry of Health,0.0,90.5,2021,Jul
Nyamagabe,E-Visa Service,Ministry of Health,1268.0,81.2,2022,Dec
Huye,eTax Portal,Ministry of Lands,4785.0,71.2,2024,Unknown
Burera,Land Registration Portal,Ministry of Health,0.0,58.4,2023,Aug
Huye,E-Visa Service,Ministry of ICT,1004.0,93.5,2023,Aug
Ngoma,eTax Portal,Ministry of Lands,4615.0,60.8,2022,Mar
Gakenke,Irembo Services,Ministry of ICT,0.0,58.9,2021,Feb
Bugesera,Digital Health Records,Immigration Department,0.0,0.0,2021,Oct
Rulindo,eTax Portal,Immigration Department,3486.0,60.3,2024,Jan
Nyanza,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2023,Unknown
Rulindo,Irembo Services,Ministry of Health,3404.0,81.6,2024,Unknown
Musanze,Digital Health Records,Immigration Department,275.0,0.0,2023,Apr
Nyagatare,Irembo Services,Ministry of Health,4943.0,63.7,2022,May
Nyagatare,E-Visa Service,Ministry of ICT,1009.0,84.8,2023,Jan
Nyarugenge,Online Business Registration,Ministry of Lands,0.0,72.1,2024,May
Karongi,E-Visa Service,Immigration Department,865.0,85.9,2024,Apr
Gasabo,E-Visa Service,Ministry of Lands,0.0,0.0,2024,Sep
Burera,Land Registration Portal,Immigration Department,0.0,56.4,2022,May
Nyagatare,Irembo Services,Ministry of Health,0.0,0.0,2023,Mar
Nyagatare,Irembo Services,Immigration Department,0.0,78.9,2023,Unknown
Gasabo,eTax Portal,Immigration Department,0.0,0.0,2024,Aug
Nyarugenge,Online Business Registration,Ministry of ICT,0.0,54.3,2023,Oct
Kicukiro,Online Business Registration,Rwanda Revenue Authority,0.0,79.8,2021,Dec
Nyagatare,Land Registration Portal,Ministry of ICT,3470.0,66.2,2021,Unknown
Nyarugenge,Online Business Registration,Ministry of Lands,351.0,67.2,2021,Unknown
Kicukiro,Irembo Services,Ministry of Health,656.0,53.5,2023,Aug
Karongi,Land Registration Portal,Ministry of Health,749.0,0.0,2022,Sep
Nyarugenge,Online Business Registration,Immigration Department,1189.0,90.0,2022,Sep
Nyanza,Land Registration Portal,Ministry of Health,2350.0,0.0,2022,Feb
Nyagatare,Online Business Registration,Rwanda Revenue Authority,3025.0,0.0,2022,Oct
Rusizi,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2021,Feb
Kayonza,eTax Portal,Immigration Department,0.0,66.2,2021,May
Huye,Online Business Registration,Immigration Department,2115.0,0.0,2024,Unknown
Burera,Land Registration Portal,Ministry of Lands,619.0,0.0,2023,Sep
Rubavu,Irembo Services,Immigration Department,0.0,68.1,2023,Unknown
Kayonza,eTax Portal,Ministry of ICT,0.0,0.0,2022,Jun
Nyagatare,Online Business Registration,Ministry of ICT,0.0,0.0,2021,Sep
Kayonza,Online Business Registration,Ministry of ICT,0.0,0.0,2022,Unknown
Nyamagabe,Land Registration Portal,Rwanda Revenue Authority,0.0,98.1,2024,Unknown
Huye,eTax Portal,Ministry of Health,0.0,84.5,2023,Jan
Musanze,Online Business Registration,Ministry of Lands,0.0,0.0,2023,Unknown
Musanze,Irembo Services,Immigration Department,0.0,54.8,2022,Dec
Nyamagabe,E-Visa Service,Ministry of Lands,0.0,0.0,2024,Aug
Bugesera,Irembo Services,Rwanda Revenue Authority,1891.0,0.0,2023,Sep
Nyamagabe,Online Business Registration,Immigration Department,2505.0,99.1,2024,Apr
Nyamagabe,Irembo Services,Immigration Department,3000.0,96.4,2024,Jul
Rulindo,eTax Portal,Rwanda Revenue Authority,4181.0,56.0,2022,Feb
Kicukiro,Online Business Registration,Ministry of Health,4165.0,57.6,2021,Dec
Musanze,Land Registration Portal,Immigration Department,0.0,0.0,2022,Unknown
Kicukiro,eTax Portal,Ministry of Health,0.0,77.0,2021,Nov
Gakenke,Irembo Services,Rwanda Revenue Authority,1021.0,0.0,2024,Unknown
Karongi,Online Business Registration,Ministry of Lands,0.0,0.0,2021,Apr
Musanze,eTax Portal,Immigration Department,0.0,0.0,2024,May
Nyagatare,Irembo Services,Ministry of Health,2824.0,0.0,2023,Unknown
Huye,Online Business Registration,Immigration Department,903.0,0.0,2023,Jan
Huye,E-Visa Service,Ministry of Health,0.0,0.0,2023,Aug
Burera,Digital Health Records,Immigration Department,0.0,55.9,2022,May
Rulindo,Land Registration Portal,Immigration Department,0.0,0.0,2022,Jun
Rubavu,Irembo Services,Immigration Department,0.0,0.0,2024,Unknown
Nyamagabe,E-Visa Service,Ministry of Lands,4983.0,96.8,2023,Unknown
Rwamagana,Irembo Services,Immigration Department,2541.0,75.5,2022,Feb
Rusizi,Digital Health Records,Ministry of Health,0.0,69.8,2023,Aug
Rulindo,Digital Health Records,Ministry of Lands,0.0,0.0,2022,Unknown
Nyagatare,eTax Portal,Ministry of ICT,54.0,75.8,2021,Feb
Nyarugenge,Land Registration Portal,Ministry of Health,4919.0,89.3,2021,Unknown
Rulindo,Land Registration Portal,Ministry of Health,0.0,99.6,2023,Unknown
Burera,Irembo Services,Ministry of ICT,4192.0,0.0,2024,Apr
Musanze,Digital Health Records,Ministry of Lands,0.0,0.0,2022,Apr
Kicukiro,Land Registration Portal,Immigration Department,0.0,77.0,2022,Unknown
Burera,Online Business Registration,Ministry of Health,1743.0,0.0,2021,Dec
Gasabo,Land Registration Portal,Ministry of ICT,0.0,0.0,2021,Oct
Nyarugenge,Irembo Services,Immigration Department,880.0,0.0,2024,Dec
Nyagatare,E-Visa Service,Ministry of Lands,0.0,0.0,2024,Jun
Rwamagana,E-Visa Service,Ministry of Health,1419.0,54.0,2024,Unknown
Nyamagabe,Land Registration Portal,Immigration Department,0.0,51.1,2023,Dec
Kayonza,eTax Portal,Immigration Department,2888.0,0.0,2021,Oct
Kayonza,Digital Health Records,Rwanda Revenue Authority,1981.0,0.0,2023,Nov
Huye,E-Visa Service,Ministry of ICT,0.0,82.0,2021,Jul
Gakenke,Irembo Services,Immigration Department,4779.0,78.8,2021,Mar
Kicukiro,Irembo Services,Ministry of Lands,0.0,0.0,2022,Oct
Rwamagana,Digital Health Records,Rwanda Revenue Authority,609.0,80.3,2021,Mar
Gakenke,Digital Health Records,Immigration Department,4633.0,0.0,2021,Unknown
Gasabo,Digital Health Records,Immigration Department,3393.0,0.0,2023,Apr
Gakenke,E-Visa Service,Ministry of Lands,0.0,75.1,2021,Unknown
Rusizi,Irembo Services,Rwanda Revenue Authority,1520.0,91.3,2023,Apr
Rulindo,Digital Health Records,Rwanda Revenue Authority,2344.0,0.0,2024,Unknown
Ngoma,E-Visa Service,Ministry of ICT,0.0,0.0,2021,Jan
Nyamagabe,Digital Health Records,Immigration Department,1729.0,0.0,2021,Oct
Burera,Irembo Services,Ministry of ICT,2794.0,0.0,2023,Jun
Kayonza,Irembo Services,Rwanda Revenue Authority,0.0,0.0,2024,Sep
Rubavu,eTax Portal,Ministry of ICT,3168.0,79.7,2022,May
Huye,Land Registration Portal,Ministry of Lands,0.0,0.0,2024,Oct
Ngoma-,Online Business Registration,Ministry of Health,3109.0,63.9,2023,Sep
Huye,Irembo Services,Ministry of Lands,0.0,82.0,2024,Mar
Kicukiro,Online Business Registration,Rwanda Revenue Authority,2529.0,0.0,2023,Jun
Burera,eTax Portal,Ministry of Lands,0.0,82.5,2023,Dec
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,1807.0,69.3,2022,May
Karongi,E-Visa Service,Ministry of Lands,0.0,0.0,2021,May
Kicukiro,Land Registration Portal,Immigration Department,0.0,0.0,2023,Oct
Kicukiro,Land Registration Portal,Immigration Department,0.0,99.7,2023,May
Kayonza,E-Visa Service,Ministry of Lands,1681.0,81.0,2022,Unknown
Nyanza,eTax Portal,Ministry of ICT,1065.0,99.2,2023,Sep
Nyanza,Digital Health Records,Rwanda Revenue Authority,0.0,58.5,2021,Nov
Rwamagana,Land Registration Portal,Immigration Department,0.0,0.0,2022,Unknown
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,0.0,63.3,2021,Feb
Nyanza,eTax Portal,Immigration Department,0.0,0.0,2021,Mar
Nyarugenge,Digital Health Records,Ministry of Health,0.0,0.0,2022,Unknown
Rwamagana,Land Registration Portal,Ministry of Lands,0.0,99.8,2023,Unknown
Nyarugenge,Land Registration Portal,Immigration Department,0.0,0.0,2021,Jul
Nyarugenge,Digital Health Records,Ministry of Lands,1618.0,0.0,2021,Jan
Nyagatare,Irembo Services,Ministry of Health,2788.0,0.0,2021,May
Gakenke,E-Visa Service,Rwanda Revenue Authority,3963.0,71.3,2021,Unknown
Musanze,Irembo Services,Ministry of Lands,4430.0,89.6,2022,Nov
Nyagatare,E-Visa Service,Immigration Department,4157.0,72.5,2022,Mar
Kicukiro,E-Visa Service,Ministry of Health,0.0,67.7,2024,Dec
Nyarugenge,Land Registration Portal,Immigration Department,0.0,0.0,2024,Unknown
Nyamagabe,E-Visa Service,Ministry of Health,2132.0,58.8,2021,Mar
Nyanza,Online Business Registration,Ministry of Health,0.0,0.0,2023,Apr
Karongi,Digital Health Records,Immigration Department,825.0,0.0,2021,Mar
Rusizi,Digital Health Records,Ministry of Lands,0.0,0.0,2023,Dec
Huye,Online Business Registration,Rwanda Revenue Authority,467.0,89.5,2021,Jun
Karongi,Digital Health Records,Rwanda Revenue Authority,666.0,0.0,2024,Unknown
Nyagatare,eTax Portal,Ministry of Health,0.0,59.5,2024,Apr
Rusizi,Digital Health Records,Immigration Department,1566.0,60.8,2023,Unknown
Gakenke,Digital Health Records,Ministry of Health,0.0,91.7,2021,Unknown
Rubavu,Digital Health Records,Rwanda Revenue Authority,778.0,0.0,2023,Nov
Ngoma,E-Visa Service,Ministry of Health,0.0,0.0,2024,Jul
Rulindo,Irembo Services,Ministry of Health,3515.0,74.4,2021,Aug
Karongi,eTax Portal,Rwanda Revenue Authority,0.0,63.3,2021,Mar
Nyarugenge,Digital Health Records,Ministry of Lands,2836.0,0.0,2023,Oct
Gasabo,eTax Portal,Ministry of Health,0.0,63.3,2022,Nov
Rulindo,E-Visa Service,Ministry of Lands,0.0,0.0,2023,May
Musanze,eTax Portal,Ministry of Health,0.0,0.0,2024,Nov
Nyarugenge,eTax Portal,Immigration Department,0.0,0.0,2024,Jul
Burera,Online Business Registration,Ministry of Health,3490.0,90.5,2024,Jul
Huye,E-Visa Service,Ministry of Health,2376.0,0.0,2024,Aug
Nyanza,Digital Health Records,Ministry of ICT,2964.0,0.0,2024,Feb
Rusizi,Irembo Services,Immigration Department,0.0,94.6,2022,Nov
Rubavu,Irembo Services,Immigration Department,0.0,0.0,2021,Unknown
Bugesera,Irembo Services,Ministry of Lands,0.0,65.8,2023,Unknown
Nyarugenge,Irembo Services,Ministry of Lands,4542.0,0.0,2023,Feb
Nyagatare,Digital Health Records,Ministry of Health,445.0,0.0,2024,Jul
Bugesera,Irembo Services,Rwanda Revenue Authority,4221.0,0.0,2023,Sep
Ngoma,E-Visa Service,Ministry of Health,0.0,95.1,2024,Dec
Rwamagana,E-Visa Service,Ministry of ICT,767.0,91.3,2022,May
Rulindo,eTax Portal,Ministry of Health,0.0,83.0,2022,Dec
Burera,Online Business Registration,Ministry of ICT,193.0,72.5,2021,Jun
Ngoma,Land Registration Portal,Ministry of Health,3190.0,0.0,2022,Aug
Nyanza,Irembo Services,Ministry of Lands,4541.0,72.5,2022,Aug
Gasabo,Land Registration Portal,Ministry of Health,2988.0,0.0,2021,Jun
Burera,Land Registration Portal,Ministry of Lands,3686.0,99.4,2023,Oct
Ngoma,Land Registration Portal,Rwanda Revenue Authority,1217.0,84.0,2024,Jan
Musanze,eTax Portal,Rwanda Revenue Authority,1112.0,51.9,2024,Unknown
Rubavu,E-Visa Service,Immigration Department,0.0,85.8,2023,Unknown
Rusizi,Irembo Services,Ministry of Health,0.0,90.1,2021,Unknown
Musanze,Digital Health Records,Immigration Department,1206.0,50.6,2023,Dec
Musanze,eTax Portal,Ministry of Health,782.0,0.0,2022,Feb
Burera,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2021,Dec
Rubavu,Digital Health Records,Ministry of ICT,0.0,0.0,2021,Aug
Rusizi,E-Visa Service,Immigration Department,0.0,88.7,2021,Nov
Ngoma,Irembo Services,Immigration Department,0.0,89.2,2024,Nov
Huye,eTax Portal,Rwanda Revenue Authority,0.0,58.7,2023,Dec
Karongi,Land Registration Portal,Rwanda Revenue Authority,3043.0,0.0,2021,Jun
Huyex,eTax Portal,Ministry of ICT,0.0,0.0,2021,Unknown
Rusizi,eTax Portal,Immigration Department,1590.0,71.2,2021,Feb
Nyanza,Irembo Services,Rwanda Revenue Authority,0.0,0.0,2023,Unknown
Kayonza,Land Registration Portal,Rwanda Revenue Authority,0.0,0.0,2024,Sep
Rusizi,Land Registration Portal,Ministry of ICT,1438.0,88.5,2022,Jul
Kicukiro,Online Business Registration,Ministry of ICT,0.0,98.8,2024,Apr
Nyarugenge,Online Business Registration,Ministry of Lands,1730.0,60.3,2021,Jul
Nyamagabe,E-Visa Service,Ministry of Health,4362.0,0.0,2024,Unknown
Rusizi,Digital Health Records,Ministry of Lands,0.0,88.7,2024,Apr
Kicukiro,Online Business Registration,Ministry of ICT,0.0,98.0,2022,Aug
Gasabo,Irembo Services,Rwanda Revenue Authority,3536.0,0.0,2023,May
Karongi,eTax Portal,Ministry of ICT,0.0,0.0,2023,Jun
Rubavu,Land Registration Portal,Immigration Department,2264.0,0.0,2024,Unknown
Rusizi,eTax Portal,Rwanda Revenue Authority,0.0,55.7,2024,May
Rwamagana,Irembo Services,Ministry of Lands,3652.0,79.1,2023,Jun
Rulindo,eTax Portal,Ministry of Lands,3572.0,0.0,2023,Sep
Burera,Land Registration Portal,Ministry of Lands,0.0,82.8,2022,Oct
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,0.0,52.2,2021,Mar
Burera,Digital Health Records,Ministry of Health,0.0,96.4,2024,Oct
Gasabo,Land Registration Portal,Ministry of Health,505.0,0.0,2023,Unknown
Musanze,Land Registration Portal,Ministry of Health,944.0,0.0,2024,Aug
Nyarugenge,Land Registration Portal,Ministry of ICT,2008.0,0.0,2024,Unknown
Rubavu,E-Visa Service,Ministry of ICT,0.0,0.0,2023,Jun
Burera,E-Visa Service,Immigration Department,4335.0,0.0,2022,Nov
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,0.0,0.0,2024,Unknown
Bugesera,Irembo Services,Immigration Department,3490.0,50.6,2022,Jan
Burera,Land Registration Portal,Ministry of ICT,873.0,0.0,2023,Jan
Rubavu,E-Visa Service,Rwanda Revenue Authority,0.0,65.8,2021,Feb
Nyamagabe,E-Visa Service,Ministry of Lands,3677.0,92.3,2021,Nov
Rubavu,eTax Portal,Rwanda Revenue Authority,1902.0,77.2,2024,Unknown
Kicukiro,Irembo Services,Ministry of ICT,0.0,87.8,2023,Unknown
Ngoma,Online Business Registration,Ministry of Lands,3334.0,0.0,2022,Aug
Bugesera,eTax Portal,Ministry of Lands,2861.0,86.4,2024,Jan
Kicukiro,E-Visa Service,Rwanda Revenue Authority,1300.0,0.0,2023,Feb
Bugesera,eTax Portal,Ministry of Health,0.0,0.0,2023,Unknown
Huye,eTax Portal,Ministry of ICT,1306.0,87.7,2022,Mar
Nyagatare,eTax Portal,Ministry of ICT,3536.0,96.9,2024,Aug
Musanze,Irembo Services,Ministry of Health,0.0,0.0,2023,Aug
